publishedAt,authorDisplayName,textDisplay,likeCount,Channel
2024-10-07T01:40:34Z,@kadapiasmar3547,Masa sekelas jakarta masih percaya kata gratis.. 😂,0,Kompas TV
2024-10-07T01:37:59Z,@Luthfi-ew4vo,oke..,0,Kompas TV
2024-10-07T01:34:49Z,@orange8172,Jangan ikuy Doel. PakRidwan jangan ikut😮😮😮😮rusak nanti Kalian sayang spritnya jadi rusak Pak😮😮😮,0,Kompas TV
2024-10-07T01:33:49Z,@orange8172,jangan di ikutin cari makan mereka hanya pakai. mulut😮😮😮ngaknpakai ketja tangan laki dan otakkk😮😮😮😮. bangsatituu,0,Kompas TV
2024-10-07T01:29:30Z,@orange8172,Kau Doel jiklau di suruh di suruh debat diam aja. Kau. bulapetlu makan kacang aja Kau😮😮😮😮. bagusnyangaknusah ikuttt debat,0,Kompas TV
2024-10-07T01:27:38Z,@orange8172,Calin Pimpinan kok di suruh debat😮😮😮pakai otak kauuuu😮😮😮😮. siapayang suruh debatttt.,0,Kompas TV
2024-10-07T01:26:12Z,@orange8172,debat debat debat lagikkk😮😮😮😮😮ngapain debat😮😮😮siapa yang suruh debat😮😮😮😮siapaa yabg suruh debattt😮😮😮😮bubar semuaaaa😮😮😮😮😮. bubarrrr😮😮😮😮ngak ada debat debat bikin emosi aja ituuuuu😮😮😮😮😮😮,0,Kompas TV
2024-10-07T01:23:40Z,@ronaltasela680,Ridwan Kamil sangat cocok benahi Jakarta.,0,Kompas TV
2024-10-07T01:17:28Z,@malsihombing,Kaya debat jaman foke dulu. B ajah😅😅😅😅,0,Kompas TV
2024-10-07T01:07:51Z,@LembayungArgadhari,"Siapapun yg memimpin jkarta hrpan sy jkarta lebih baik ,lebih aman ,dan  lebih tertata",1,Kompas TV
2024-10-07T00:58:00Z,@LinaLina-d3q2i,"Ada ide yg gila. Murah dan terjabgkau. Contoh rusun sewa rp. 10.000, tinggal masuk. Ada tempat tidur,dll. Siapa yg nombok. Kepala daerah itu juga harus nerti ekonomi, boleh sih subsidi silang asal jangan kebablasan",1,Kompas TV
2024-10-07T00:57:21Z,@EndangSuherman-w8k,No 3 Pram Doel menang satu putaran 🤟🤟🤟🔥🔥🔥,0,Kompas TV
2024-10-07T00:57:09Z,@RtrtrtrtrtrtrtrtPritprit,Dharma ini orang jujur,9,Kompas TV
2024-10-07T00:37:58Z,@vaulusssilendrasilendra6835,Kang Kamil bhsa tegas jelas lugas simple,2,Kompas TV
2024-10-07T00:34:51Z,@indybenedicta,HANYA No.3 awal pembukaan yg tidak memberi salam kepada non muslim.. simple sih.. gimana mau adil kalau hal simple saja dilupakan,3,Kompas TV
2024-10-07T06:23:24Z,@paulussamara4704,"Saya non muslim biasa aja, wkwkwk",0,Kompas TV
2024-10-07T00:32:15Z,@vaulusssilendrasilendra6835,Yg ngomong nya blepotan ya itu ketauan 😅😅😅 fisi misi nya,0,Kompas TV
2024-10-07T00:18:17Z,@a71sahathasibuan,Ayo kita coba yang non partai... memimpin untuk merombak partai2 supaya jangan kepentingan politik menjadi mengatur.,6,Kompas TV
2024-10-06T23:58:57Z,@taylortirtaranasathyanada8846,Menyala Bang Rano dan Mas Pram .. jakarta butuh PERUBAHAN,0,Kompas TV
2024-10-06T23:54:04Z,@mariafrusmiyati8410,Sukses ya bang Dul. Aku mendukung mu.,0,Kompas TV
2024-10-06T23:52:17Z,@M.IKBALPRISTIGE,Udah langsung lantik aja mereka semua..toh juga mereka mewakili partai dan diri mereka sendiri bukan rakyat😂😂😂,2,Kompas TV
2024-10-07T01:59:36Z,@HAHA-jo1hh,Yang mewakil rakyat siapa? Ayo kita lantik,0,Kompas TV
2024-10-07T02:53:06Z,@M.IKBALPRISTIGE,@@HAHA-jo1hh fufufafa🗿,0,Kompas TV
2024-10-06T23:44:15Z,@harrypontoh7353,"DK, no urut 2 <br>Yg pantas pimpin JKT <br>Tak neko2 dan tak ada beban utk partai (partai umumnya menggoroti negara melalui pimpin yg di calonkan itu), no urut 2, pasti kerja utk rakyat 100 % Efektif efisien dlm anggaran utk rakyat",11,Kompas TV
2024-10-06T23:37:39Z,@harrypontoh7353,"Semoga Darma Kun, mendpt kepercayaan dari rakyat JKT utk memimpin JKT",5,Kompas TV
2024-10-06T23:37:07Z,@rheiyachubby4748,Pram bang doel deh ... 👌😊,0,Kompas TV
2024-10-06T23:33:49Z,@nettyarsumiyati6157,Tetep 3 pilihanku,0,Kompas TV
2024-10-06T23:30:00Z,@Pipaalir,"Ini sih pentas drama saja. Jawabannya semua normatif, lebih kayak presentase dan diskusi anak SMA.  Levelnya jauh berbeda saat Joko-Ahok vs foke, atau Ahok-Jarot vs Anies-Sandi. Tepok jidat, mau siapa pun yang menang sama saja. Mulyono semua.",12,Kompas TV
2024-10-06T23:16:53Z,@ariantaraarsyaf820,Ayo para caleg gubernur bikin nobar Indonesia vs Bahrain pasti ramai yg datang ditunggu sama penggemar bola DKI.....,0,Kompas TV
2024-10-06T23:08:47Z,@anaraambar5844,Pak pram ..bang duull cocog pemimpin Dki jkt,0,Kompas TV
2024-10-06T23:06:33Z,@fatimahzahro7368,Siapapun yg dpilih rakyt jkt y itu yg terbaik...saya orang jwa tengh.,0,Kompas TV
2024-10-06T22:31:45Z,@bobotohkafir6597,"Politisi Amrik punya pepatah :”Campaign is one thing, execution during the government after winning the election, is another thing”. Untuk kampanye sih, segala cara HALAL, dan tak perlu Sertifikat Halal dari Kemenag. Munkin para politisi indon seperti dosen UI jurusan Filsafat, Rokok Garong yg sering ngebacot di TVOne acara ILC  :”10 juta warga Jakarté, DUNGU”.",0,Kompas TV
2024-10-06T22:21:13Z,@ChristieSalmon,"03 sangat so.. Angkuh sombong tinggi hati, semua diborong😅",0,Kompas TV
2024-10-06T21:38:12Z,@mmerrif3289,Pramono Rano 🔥🔥🔥❤❤❤,2,Kompas TV
2024-10-06T21:26:16Z,@syamsululum4721,"RK, genius <br>       santri<br>       enginer<br>       gantle<br>       menang .",1,Kompas TV
2024-10-06T21:01:36Z,@irgandika6306,Nomer 1 sih kalau aku.,1,Kompas TV
2024-10-06T20:40:48Z,@TheSulistio89,No 3 ...Mantap pimpin Jakarta.Menyala,1,Kompas TV
2024-10-06T20:22:38Z,@mrbinyo2703,"Timnas di Kritik sok peduli, gk akan jadi kau dul",0,Kompas TV
2024-10-06T20:17:49Z,@Agunghapsah-m8k,Ranro kaya ganjar angkuh 😂😂,1,Kompas TV
2024-10-06T20:07:07Z,@meryoldyriawaty4159,mantapss 02✌️✌️,6,Kompas TV
2024-10-06T20:00:14Z,@wahyu4822,Kok aku lebih suka dengan no 2..,5,Kompas TV
2024-10-06T19:50:03Z,@AbrayPrasetyo,No 2 emang dah pilihan tepat sampai di mute pas pak dharma ngomong,6,Kompas TV
2024-10-06T20:50:54Z,@agungwaluyojati5264,Menit berapa,0,Kompas TV
2024-10-06T19:31:48Z,@loyakub5729,"1 RW 1 milyar....per 5 tahun,1 tahun 200 jt....Waduh....menang banyak nie😂😂😂😂😂<br>Gak Logika😂<br>Dah gak Ribet Dah....g pilih No 3....",0,Kompas TV
2024-10-06T19:31:43Z,@liyani6372,No 3 lebih pantas,1,Kompas TV
2024-10-06T18:59:31Z,@agamfrimaydas2868,3 si,1,Kompas TV
2024-10-06T18:50:41Z,@AprilAndy-t9e,"Dul dul sidul sidul bahlul😅, rk juga 10th jadi gubernur, ngak ada kayak dule 😮😅",0,Kompas TV
2024-10-06T18:34:12Z,@achmadysaerozi7540,"Bang Dharma sbg Gubernur lebih mantap dan cerdas, no politik, no basa basi. Langsung ke tujuan. Yg lain kental politik dan penuh basa basi. paslon no.2 patut dipilih.",14,Kompas TV
2024-10-07T02:03:39Z,@AdiLuhung-b5i,lihat tampang no1cari muka no2 over confdn no 3 sederhana...terserah suka yg mna,0,Kompas TV
2024-10-06T18:25:38Z,@rizadwiki9955,Kosong bnget paslon no 2 hahaha,1,Kompas TV
2024-10-06T18:16:56Z,@RR-vi3em,No 2 lah. Yang lain cuma aktor bayaran partai !!,10,Kompas TV
2024-10-06T18:16:27Z,@suhirunadja6557,Kun faya kun 02,5,Kompas TV
2024-10-06T18:11:51Z,@rezekiluna2582,BISMILLAH No.3,2,Kompas TV
2024-10-06T18:03:25Z,@arkanfairuz2060,Dati sekian debat...pemaparannya ngga ada yg sekelas pak Anis😢,0,Kompas TV
2024-10-06T18:01:45Z,@windartowindarto3208,"Knpa kok sya malah condong no 2 apa lg wakilnya masih muda,",21,Kompas TV
2024-10-06T21:31:12Z,@syamsululum4721,Gak juga .,2,Kompas TV
2024-10-07T02:59:31Z,@rachmofficl,Pilih nomor 2 lebih meyakinkan,1,Kompas TV
2024-10-07T05:41:36Z,@tsaiweinitsaiweinitsaiwein7804,​@@rachmofficlboneka nya si jkw,0,Kompas TV
2024-10-06T17:54:13Z,@LexalexJones,No 2 cepat dan tepat tidak neko2,18,Kompas TV
2024-10-06T17:51:11Z,@LexalexJones,No 2 jelas dan tegas  visi dan misi nya..<br>Yg lain tidak jelas seperti baca puisi.,8,Kompas TV
2024-10-06T17:49:08Z,@mamm1473,debat jakarta paling anyep 🥱,0,Kompas TV
2024-10-06T17:45:28Z,@farhanmuhammad263,Cobalah sesekali pilih yang independent tanpa setiran partai<br>All in dharma-kun,16,Kompas TV
2024-10-06T18:03:27Z,@HilariusGu-zf5uw,Farhan.dukungan mu itu akan menang.aku yakin itu.😂😅,1,Kompas TV
2024-10-06T18:43:07Z,@agamfrimaydas2868,Aneh... Tanpa dukungan partai partai mana bisa menang...,0,Kompas TV
2024-10-06T18:44:04Z,@agamfrimaydas2868,Pola pikir di pake farhan,0,Kompas TV
2024-10-06T19:47:28Z,@farhanmuhammad263,Oh harus di setir partai ya..pantes negara ini ga maju&quot; ya ternyata pola pikir rakyatnya aja begini wkwk,0,Kompas TV
2024-10-06T20:49:35Z,@agamfrimaydas2868,"@@farhanmuhammad263 bukan di setir, tapi itu dukungan partai partai... Ga sekolah ni anak",0,Kompas TV
2024-10-06T17:43:39Z,@lystasirait8624,Beda kualitas.,1,Kompas TV
2024-10-06T17:16:25Z,@ekobuyut5960,Dukung paslon no 4. Pak anis maju jakarta semoga orang jakarta sehat semua aamiin,2,Kompas TV
2024-10-06T17:16:00Z,@ekobuyut5960,Dukung paslon no 4. Pak anis maju jakarta semoga orang jakarta sehat semua aamiin,2,Kompas TV
2024-10-06T17:29:26Z,@juntojobim1665,Wkwkwkwk gagal moveon,0,Kompas TV
